"","analysis_type","analysis_var","analysis_var_value","group_var","group_var_value","stat","stat_low","stat_upp","n","n_total","n_w","n_w_total","analysis_key"
"1.1","prop_select_one","edu_ind_access_d","0","overall","overall",0.33525149270344,0.320784417246233,0.349718568160647,4619,12562,4215.80231075469,12575.0441161613,"prop_select_one @/@ edu_ind_access_d %/% 0 @/@ overall %/% overall"
"1.2","prop_select_one","edu_ind_access_d","1","overall","overall",0.66474850729656,0.650281431839353,0.679215582753767,7943,12562,8359.24180540662,12575.0441161613,"prop_select_one @/@ edu_ind_access_d %/% 1 @/@ overall %/% overall"
"2.1","prop_select_one","edu_disrupted_teacher_d","0","overall","overall",0.924741240324127,0.917740462729873,0.931742017918381,6909,7921,7703.6356877,8330.58519700044,"prop_select_one @/@ edu_disrupted_teacher_d %/% 0 @/@ overall %/% overall"
"2.2","prop_select_one","edu_disrupted_teacher_d","1","overall","overall",0.0752587596758727,0.0682579820816186,0.0822595372701268,1012,7921,626.949509300439,8330.58519700044,"prop_select_one @/@ edu_disrupted_teacher_d %/% 1 @/@ overall %/% overall"
"2.3","prop_select_one","edu_disrupted_teacher_d",NA,"overall","overall",NA,NA,NA,4641,NA,NA,NA,"prop_select_one @/@ edu_disrupted_teacher_d %/% NA @/@ overall %/% overall"
"3.1","prop_select_one","edu_disrupted_hazards_d","0","overall","overall",0.942348133160553,0.93353743772294,0.951158828598167,7374,7930,7870.28219664602,8351.77777691327,"prop_select_one @/@ edu_disrupted_hazards_d %/% 0 @/@ overall %/% overall"
"3.2","prop_select_one","edu_disrupted_hazards_d","1","overall","overall",0.0576518668394465,0.0488411714018332,0.0664625622770598,556,7930,481.495580267252,8351.77777691327,"prop_select_one @/@ edu_disrupted_hazards_d %/% 1 @/@ overall %/% overall"
"3.3","prop_select_one","edu_disrupted_hazards_d",NA,"overall","overall",NA,NA,NA,4632,NA,NA,NA,"prop_select_one @/@ edu_disrupted_hazards_d %/% NA @/@ overall %/% overall"
"4.1","prop_select_one","edu_disrupted_displaced_d","0","overall","overall",0.988046788461824,0.983003202484747,0.993090374438902,7824,7916,8244.91416251854,8344.65964446288,"prop_select_one @/@ edu_disrupted_displaced_d %/% 0 @/@ overall %/% overall"
"4.2","prop_select_one","edu_disrupted_displaced_d","1","overall","overall",0.0119532115381756,0.00690962556109813,0.0169967975152531,92,7916,99.7454819443422,8344.65964446288,"prop_select_one @/@ edu_disrupted_displaced_d %/% 1 @/@ overall %/% overall"
