"","analysis_type","label_information","label_group_var_1","label_group_var_value_2"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Overall"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Girls"
"3","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","urbanity","Boys"
"4","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","urbanity","Overall"
"5","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","urbanity","Girls"
"6","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","urbanity","Boys"
"7","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","urbanity","Overall"
"8","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","urbanity","Girls"
"9","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","urbanity","Boys"
"10","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","urbanity","Overall"
"11","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","urbanity","Girls"
"12","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","urbanity","Boys"
