"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","There is a ban preventing child from attending","urbanity","Rural"
"2","prop_select_one","There is a ban preventing child from attending","urbanity","Urban"
"3","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","urbanity","Rural"
"4","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","urbanity","Urban"
"5","prop_select_one","Cannot afford the direct costs of education","urbanity","Rural"
"6","prop_select_one","Cannot afford the direct costs of education","urbanity","Urban"
"7","prop_select_one","No school in the area or school is too far","urbanity","Rural"
"8","prop_select_one","No school in the area or school is too far","urbanity","Urban"
"9","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","urbanity","Rural"
"10","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","urbanity","Urban"
"11","prop_select_one","% of school-aged children not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","urbanity","Rural"
"12","prop_select_one","% of school-aged children not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","urbanity","Urban"
