"","analysis_type","label_information","label_group_var_1","label_group_var_value_2"
"1","prop_select_one","There is a ban preventing child from attending","urbanity","Overall"
"2","prop_select_one","There is a ban preventing child from attending","urbanity","Girls"
"3","prop_select_one","There is a ban preventing child from attending","urbanity","Boys"
"4","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","urbanity","Overall"
"5","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","urbanity","Girls"
"6","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","urbanity","Boys"
"7","prop_select_one","Cannot afford the direct costs of education","urbanity","Overall"
"8","prop_select_one","Cannot afford the direct costs of education","urbanity","Girls"
"9","prop_select_one","Cannot afford the direct costs of education","urbanity","Boys"
"10","prop_select_one","No school in the area or school is too far","urbanity","Overall"
"11","prop_select_one","No school in the area or school is too far","urbanity","Girls"
"12","prop_select_one","No school in the area or school is too far","urbanity","Boys"
"13","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","urbanity","Overall"
"14","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","urbanity","Girls"
"15","prop_select_one","% of school-aged children  who did not attend school or any early childhood education program at any time during the 2023-2024 school year","urbanity","Boys"
"16","prop_select_one","% of school-aged children not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","urbanity","Overall"
"17","prop_select_one","% of school-aged children not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","urbanity","Girls"
"18","prop_select_one","% of school-aged children not attending school or any early childhood education program at any time during the 2023-2024 school year, by main reason","urbanity","Boys"
