"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","Population group","idp"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","Population group","ndsp"
"3","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","Population group","ocap"
"4","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","Population group","ret"
"5","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","NA"
"6","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"7","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"8","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","NA"
"9","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"10","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"11","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","Population group","idp"
"12","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","Population group","ndsp"
"13","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","Population group","ocap"
"14","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","Population group","ret"
"15","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","NA"
"16","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"17","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"18","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","NA"
"19","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"20","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"21","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","Population group","idp"
"22","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","Population group","ndsp"
"23","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","Population group","ocap"
"24","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","Population group","ret"
"25","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","NA"
"26","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"27","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"28","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","NA"
"29","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"30","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"31","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","Population group","idp"
"32","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","Population group","ndsp"
"33","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","Population group","ocap"
"34","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","Population group","ret"
