"","analysis_type","label_group_var_value_1","label_group_var_value_2"
"1","prop_select_one","idp","Overall"
"2","prop_select_one","idp","Girls"
"3","prop_select_one","idp","Boys"
"4","prop_select_one","ndsp","Overall"
"5","prop_select_one","ndsp","Girls"
"6","prop_select_one","ndsp","Boys"
"7","prop_select_one","ocap","Overall"
"8","prop_select_one","ocap","Girls"
"9","prop_select_one","ocap","Boys"
"10","prop_select_one","ret","Overall"
"11","prop_select_one","ret","Girls"
"12","prop_select_one","ret","Boys"
"13","prop_select_one","","Overall"
"14","prop_select_one","NA","Girls"
"15","prop_select_one","NA","Boys"
"16","prop_select_one","0","Overall"
"17","prop_select_one","0","Girls"
"18","prop_select_one","0","Boys"
"19","prop_select_one","1","Overall"
"20","prop_select_one","1","Girls"
"21","prop_select_one","1","Boys"
