"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","The child has already graduated from secondary education.","Population group","idp"
"2","prop_select_one","The child has already graduated from secondary education.","Population group","ndsp"
"3","prop_select_one","The child has already graduated from secondary education.","Population group","ocap"
"4","prop_select_one","The child has already graduated from secondary education.","Population group","ret"
"5","prop_select_one","The child has already graduated from secondary education.","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","NA"
"6","prop_select_one","The child has already graduated from secondary education.","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"7","prop_select_one","The child has already graduated from secondary education.","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","NA"
"8","prop_select_one","The child has already graduated from secondary education.","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"9","prop_select_one","Child participating in income generating activities outside of the home","Population group","idp"
"10","prop_select_one","Child participating in income generating activities outside of the home","Population group","ndsp"
"11","prop_select_one","Child participating in income generating activities outside of the home","Population group","ocap"
"12","prop_select_one","Child participating in income generating activities outside of the home","Population group","ret"
"13","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","NA"
"14","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"15","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","NA"
"16","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"17","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"18","prop_select_one","Cannot afford education-related costs","Population group","idp"
"19","prop_select_one","Cannot afford education-related costs","Population group","ndsp"
"20","prop_select_one","Cannot afford education-related costs","Population group","ocap"
"21","prop_select_one","Cannot afford education-related costs","Population group","ret"
"22","prop_select_one","Cannot afford education-related costs","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","NA"
"23","prop_select_one","Cannot afford education-related costs","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"24","prop_select_one","Cannot afford education-related costs","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"25","prop_select_one","Cannot afford education-related costs","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","NA"
"26","prop_select_one","Cannot afford education-related costs","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"27","prop_select_one","Cannot afford education-related costs","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"28","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","Population group","idp"
"29","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","Population group","ndsp"
"30","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","Population group","ocap"
"31","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","Population group","ret"
"32","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","NA"
"33","prop_select_one","There is a lack of interest/Education is not a priority either for the child or the household","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
