"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","population_group","IDP in"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","population_group","IDP out"
"3","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","population_group","Resident"
"4","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"5","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"6","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"7","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"8","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","population_group","IDP in"
"9","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","population_group","IDP out"
"10","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","population_group","Resident"
"11","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"12","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"13","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"14","prop_select_one","% of school-aged children whose education was disrupted due to teacher's absence","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"15","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","population_group","IDP in"
"16","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","population_group","IDP out"
"17","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","population_group","Resident"
"18","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"19","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"20","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"21","prop_select_one","% of school-aged children whose education was disrupted due to natural hazards","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"22","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","population_group","IDP in"
"23","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","population_group","IDP out"
"24","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","population_group","Resident"
"25","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"26","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"27","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"28","prop_select_one","% of school-aged children whose education was disrupted due to the school being occupied by displaced persons","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
