"","analysis_type","label_group_var_value_1","label_group_var_value_2"
"1","prop_select_one","IDP in","Overall"
"2","prop_select_one","IDP in","Girls"
"3","prop_select_one","IDP in","Boys"
"4","prop_select_one","IDP out","Overall"
"5","prop_select_one","IDP out","Girls"
"6","prop_select_one","IDP out","Boys"
"7","prop_select_one","Resident","Overall"
"8","prop_select_one","Resident","Girls"
"9","prop_select_one","Resident","Boys"
"10","prop_select_one","0","Overall"
"11","prop_select_one","0","Girls"
"12","prop_select_one","0","Boys"
"13","prop_select_one","1","Overall"
"14","prop_select_one","1","Girls"
"15","prop_select_one","1","Boys"
