"","analysis_type","label_information","label_group_var_1","label_group_var_value_2"
"1","prop_select_one","Cannot afford the direct costs of education","population_group","Overall"
"2","prop_select_one","Cannot afford the direct costs of education","population_group","Girls"
"3","prop_select_one","Cannot afford the direct costs of education","population_group","Boys"
"4","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","Overall"
"5","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","Girls"
"6","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","Boys"
"7","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","Overall"
"8","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","Girls"
"9","prop_select_one","Cannot afford the direct costs of education","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","Boys"
"10","prop_select_one","Child participating in income generating activities outside of the home","population_group","Overall"
"11","prop_select_one","Child participating in income generating activities outside of the home","population_group","Girls"
"12","prop_select_one","Child participating in income generating activities outside of the home","population_group","Boys"
"13","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","Overall"
"14","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","Girls"
"15","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","Boys"
"16","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","Overall"
"17","prop_select_one","Child participating in income generating activities outside of the home","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","Girls"
