"","analysis_type","label_information","label_group_var_1","label_group_var_value_1"
"1","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","population_group","IDP in"
"2","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","population_group","IDP out"
"3","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","population_group","Resident"
"4","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"5","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"6","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"7","prop_select_one","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year ","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"8","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","population_group","IDP in"
"9","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","population_group","IDP out"
"10","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","population_group","Resident"
"11","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"12","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"13","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"14","prop_select_one","% of school-aged children attending primary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
"15","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","population_group","IDP in"
"16","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","population_group","IDP out"
"17","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","population_group","Resident"
"18","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","0"
"19","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 3 -  the level of inclusion is any 1 domain/question is coded A LOT OF DIFFICULTY or CANNOT DO AT ALL","1"
"20","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","0"
"21","prop_select_one","% of school-aged children attending secondary school who are at least 2 years above the intended age for their grade","% of school-aged children with disability 2 -  the level of inclusion is at least 2 domains/questions are coded SOME DIFFICULTY or any 1 domain/question is coded","1"
