"","label_group_var_value_1","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Overall","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Boys","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Girls","% of children one year before primary school entry age attending early childhood education or primary school. %/% Overall","% of children one year before primary school entry age attending early childhood education or primary school. %/% Boys","% of children one year before primary school entry age attending early childhood education or primary school. %/% Girls","% of children one year before primary school entry age attending primary school. %/% Overall","% of children one year before primary school entry age attending primary school. %/% Boys","% of children one year before primary school entry age attending primary school. %/% Girls"
"1","Ayeyarwady","5","5","5","5","5","5","5","4","5"
"2","Bago (East)","5","5","5","5","5","5","4","5","3"
"3","Bago (West)","5","5","5","5","5","5","4","4",NA
"4","Chin","3","4","3","3","4","3","3","3","2"
"5","Kachin","5","4","5","5","4","5","3","3","4"
"6","Kayah","3","3","3","3","3","3","3","2","3"
"7","Kayin","5","5","4","5","5","4","3","4","3"
"8","Magway","3","3","3","3","3","3","3","2","3"
"9","Mandalay","5","5","5","5","5","5","4","3","4"
"10","Mon","5","5","5","5","5","5","4","4","2"
"11","Nay Pyi Taw","5","","4","5","","4","2","3","2"
"12","Rakhine","3","3","3","3","3","3","2","2","3"
"13","Sagaing","3","2","3","3","2","3","2","2","2"
"14","Shan (East)","5","5","5","5","5","5","4","5","3"
"15","Shan (North)","4","4","3","4","4","3","4","4","3"
"16","Shan (South)","5","5","4","5","5","4","4","4","4"
"17","Tanintharyi","4","4","4","4","4","4","3","3","2"
"18","Yangon","5","5","5","5","5","5","3","3","3"
"19","Ayeyarwady#ocap","5","5","5","5","5","5","5","4","5"
"20","Bago (East)#idp","5","5","4","5","5","4","4","4","3"
"21","Bago (East)#ocap","5","5","5","5","5","5","4","5","3"
"22","Bago (East)#ret","3",NA,"4","3",NA,"4","3",NA,"4"
"23","Bago (West)#ocap","5","5","5","5","5","5","4","4",NA
"24","Chin#idp","3","3","3","3","3","3","3","2","3"
"25","Chin#ocap","3","4","3","3","4","3","3","3","2"
"26","Chin#ret","4","4","3","4","4","3","3","3","2"
"27","Kachin#idp","5","4","5","5","4","5","4","3","4"
"28","Kachin#ocap","5","4","5","5","4","5","3","3","4"
"29","Kachin#ret","3","3","3","3","3","3","2","3","2"
"30","Kayah#idp","3","3","3","3","3","3","2","2","3"
"31","Kayah#ocap","3","3","3","3","3","3","3","2","3"
"32","Kayah#ret","3","4","3","3","4","3","2","3","2"
"33","Kayin#idp","4","4","4","4","4","4","3","3","3"
"34","Kayin#ocap","5","5","4","5","5","4","4","4","3"
"35","Kayin#ret","3","3","4","3","3","4","2",NA,"3"
"36","Magway#ocap","3","3","3","3","3","3","3",NA,"3"
"37","Magway#ret","3","3","3","3","3","3","3","2","3"
"38","Mandalay#ocap","5","5","5","5","5","5","4","3","4"
"39","Mon#idp","5","5","5","5","5","5","3","3","3"
"40","Mon#ocap","5","5","5","5","5","5","4","5","2"
"41","Mon#ret","4","3","5","4","3","5","3",NA,"4"
"42","Nay Pyi Taw#ocap","5","","4","5","","4","2","3","2"
"43","Rakhine#idp","4","4","3","4","4","3","2","2","2"
"44","Rakhine#ndsp","2","3","2","2","3","2","2","2","2"
"45","Rakhine#ocap","3","3","4","3","3","4","3","2","3"
"46","Rakhine#ret","4","3","4","4","3","4","2","2","2"
"47","Sagaing#idp","2","2","2","2","2","2",NA,NA,NA
"48","Sagaing#ocap","3","2","3","3","2","3","2","2","2"
"49","Shan (East)#ocap","5","5","5","5","5","5","4","5","3"
"50","Shan (North)#idp","2","2","2","2","2","2","2",NA,"2"
"51","Shan (North)#ocap","4","4","3","4","4","3","4","4","3"
"52","Shan (North)#ret","3","5",NA,"3","5",NA,"3","4",NA
"53","Shan (South)#idp","3","4",NA,"3","4",NA,"2","2",NA
"54","Shan (South)#ocap","5","5","4","5","5","4","4","4","4"
"55","Shan (South)#ret","5","5","4","5","5","4","5","5","4"
"56","Tanintharyi#idp","3","5","3","3","5","3","3","5","3"
"57","Tanintharyi#ocap","4","4","4","4","4","4","3","3",NA
"58","Tanintharyi#ret","5","4","5","5","4","5","3","3","3"
"59","Yangon#ocap","5","5","5","5","5","5","3","3","3"
