"","label_group_var_value_1","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Overall","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Boys","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Girls","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% NA","% of school-aged children of primary school age currently attending primary or higher %/% Overall","% of school-aged children of primary school age currently attending primary or higher %/% Boys","% of school-aged children of primary school age currently attending primary or higher %/% Girls","% of school-aged children of primary school age currently attending primary or higher %/% NA"
"1","Ayeyarwady","5","5","5",NA,"5","5","5",NA
"2","Bago (East)","5","5","5",NA,"5","5","5",NA
"3","Bago (West)","5","5","5",NA,"5","5","5",NA
"4","Chin","3","3","3",NA,"3","3","3",NA
"5","Kachin","5","5","5",NA,"5","5","5",NA
"6","Kayah","3","3","3","5","3","3","3","5"
"7","Kayin","4","4","4",NA,"4","4","4",NA
"8","Magway","5","5","4",NA,"5","5","4",NA
"9","Mandalay","5","5","5",NA,"5","5","5",NA
"10","Mon","5","5","5",NA,"5","5","5",NA
"11","Nay Pyi Taw","5","5","5",NA,"5","5","5",NA
"12","Rakhine","4","4","4",NA,"4","4","4",NA
"13","Sagaing","3","2","3",NA,"2","2","3",NA
"14","Shan (East)","5","5","5",NA,"5","5","5",NA
"15","Shan (North)","4","4","4",NA,"4","4","4",NA
"16","Shan (South)","5","5","5",NA,"5","5","5",NA
"17","Tanintharyi","5","5","5",NA,"5","5","5",NA
"18","Yangon","5","5","5",NA,"5","5","5",NA
"19","Ayeyarwady#ocap","5","5","5",NA,"5","5","5",NA
"20","Bago (East)#idp","5","5","5",NA,"5","5","5",NA
"21","Bago (East)#ocap","5","5","5",NA,"5","5","5",NA
"22","Bago (East)#ret","4","4","5",NA,"4","3","5",NA
"23","Bago (West)#ocap","5","5","5",NA,"5","5","5",NA
"24","Chin#idp","3","3","3",NA,"3","3","3",NA
"25","Chin#ocap","3","3","3",NA,"3","3","3",NA
"26","Chin#ret","4","4","4",NA,"4","4","4",NA
"27","Kachin#idp","5","5","5",NA,"5","5","5",NA
"28","Kachin#ocap","5","5","5",NA,"5","5","5",NA
"29","Kachin#ret","5","5","5",NA,"5","5","4",NA
"30","Kayah#idp","4","4","4","5","4","4","4","5"
"31","Kayah#ocap","3","3","3",NA,"3","3","3",NA
"32","Kayah#ret","4","4","3",NA,"3","4","3",NA
"33","Kayin#idp","5","5","4",NA,"4","4","4",NA
"34","Kayin#ocap","4","4","4",NA,"4","4","4",NA
"35","Kayin#ret","4","4","4",NA,"4","4","4",NA
"36","Magway#idp","3","3","3",NA,"3","3","3",NA
"37","Magway#ocap","5","5","4",NA,"5","5","4",NA
"38","Magway#ret","3","3","3",NA,"3","3","3",NA
"39","Mandalay#ocap","5","5","5",NA,"5","5","5",NA
"40","Mon#idp","5","5","5",NA,"5","5","5",NA
"41","Mon#ocap","5","5","5",NA,"5","5","5",NA
"42","Mon#ret","5","5","5",NA,"5","5","5",NA
"43","Nay Pyi Taw#ocap","5","5","5",NA,"5","5","5",NA
"44","Rakhine#idp","4","4","4",NA,"4","4","4",NA
"45","Rakhine#ndsp","3","3","3",NA,"3","3","3",NA
"46","Rakhine#ocap","4","5","4",NA,"4","5","4",NA
"47","Rakhine#ret","4","3","4",NA,"4","3","4",NA
"48","Sagaing#idp","2","2","2",NA,"2","2","2",NA
"49","Sagaing#ocap","3","2","3",NA,"3","2","3",NA
"50","Sagaing#ret","2","2","2",NA,"2","2","2",NA
"51","Shan (East)#ocap","5","5","5",NA,"5","5","5",NA
"52","Shan (North)#idp","3","3","3",NA,"3","3","3",NA
"53","Shan (North)#ocap","4","4","4",NA,"4","4","4",NA
"54","Shan (North)#ret","3","4","3",NA,"3","4","3",NA
"55","Shan (South)#idp","4","4","4",NA,"4","4","4",NA
"56","Shan (South)#ocap","5","5","5",NA,"5","5","5",NA
"57","Shan (South)#ret","4","4","4",NA,"4","4","4",NA
"58","Tanintharyi#idp","3","3","3",NA,"3","3","3",NA
"59","Tanintharyi#ocap","5","5","5",NA,"5","5","5",NA
"60","Tanintharyi#ret","4","3","4",NA,"3","3","4",NA
"61","Yangon#ocap","5","5","5",NA,"5","5","5",NA
