"","label_group_var_value_1","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Overall","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Boys","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% Girls","% of school-aged children who attended school or any early childhood education program at any time during the 2023-2024 school year  %/% NA","% of school-aged children of intermediate school level age currently attending intermediate school level or higher %/% Overall","% of school-aged children of intermediate school level age currently attending intermediate school level or higher %/% Boys","% of school-aged children of intermediate school level age currently attending intermediate school level or higher %/% Girls"
"1","Ayeyarwady","5","5","5",NA,"5","5","5"
"2","Bago (East)","5","5","5",NA,"4","4","4"
"3","Bago (West)","4","4","5",NA,"4","3","4"
"4","Chin","3","3","3",NA,"2","2","2"
"5","Kachin","4","5","4",NA,"4","4","4"
"6","Kayah","3","4","3",NA,"3","3","3"
"7","Kayin","4","4","3","5","3","3","3"
"8","Magway","5","4","5",NA,"4","4","4"
"9","Mandalay","5","5","5",NA,"4","5","3"
"10","Mon","5","4","5",NA,"4","3","4"
"11","Nay Pyi Taw","5","5","5",NA,"4","3","5"
"12","Rakhine","3","3","4",NA,"3","3","3"
"13","Sagaing","2","3","2",NA,"2","2","2"
"14","Shan (East)","5","5","5",NA,"4","4","4"
"15","Shan (North)","4","4","4",NA,"3","3","3"
"16","Shan (South)","5","5","5",NA,"4","5","4"
"17","Tanintharyi","4","5","4","5","3","3","4"
"18","Yangon","5","5","5",NA,"4","5","4"
"19","Ayeyarwady#ocap","5","5","5",NA,"5","5","5"
"20","Bago (East)#idp","4","4","4",NA,"3","3","3"
"21","Bago (East)#ocap","5","5","5",NA,"4","4","4"
"22","Bago (East)#ret","4","3","4",NA,"3","2","3"
"23","Bago (West)#ocap","4","4","5",NA,"4","3","4"
"24","Chin#idp","3","3","3",NA,"2","2","2"
"25","Chin#ocap","3","3","3",NA,"2","2","2"
"26","Chin#ret","3","3","3",NA,"2","2","3"
"27","Kachin#idp","5","4","5",NA,"4","3","4"
"28","Kachin#ocap","4","5","4",NA,"4","4","3"
"29","Kachin#ret","4","4","4",NA,"3","3","4"
"30","Kayah#idp","4","4","4",NA,"3","3","3"
"31","Kayah#ocap","3","3","3",NA,"3","3","3"
"32","Kayah#ret","3","3","3",NA,"2","2","2"
"33","Kayin#idp","4","4","5",NA,"3","3","4"
"34","Kayin#ocap","3","4","3","5","3","3","2"
"35","Kayin#ret","3","3","4",NA,"2","2","3"
"36","Magway#idp","3","4","3",NA,"3","3","3"
"37","Magway#ocap","5","4","5",NA,"4","4","4"
"38","Magway#ret","3","3","3",NA,"2","2","2"
"39","Mandalay#ocap","5","5","5",NA,"4","5","3"
"40","Mon#idp","4","4","4",NA,"3","4","3"
"41","Mon#ocap","5","4","5",NA,"4","3","4"
"42","Mon#ret","4","4","5",NA,"3","3","3"
"43","Nay Pyi Taw#ocap","5","5","5",NA,"4","3","5"
"44","Rakhine#idp","3","3","3",NA,"3","3","3"
"45","Rakhine#ndsp","3","3","3",NA,"3","2","3"
"46","Rakhine#ocap","4","3","4",NA,"3","3","3"
"47","Rakhine#ret","3","3","3",NA,"2","2","2"
"48","Sagaing#idp","2","2","2",NA,"2","2","2"
"49","Sagaing#ocap","2","3","2",NA,"2","2","2"
"50","Sagaing#ret","2","2","2",NA,"2","2","2"
"51","Shan (East)#ocap","5","5","5",NA,"4","4","4"
"52","Shan (North)#idp","2","3","2",NA,"2","3","2"
"53","Shan (North)#ocap","4","4","4",NA,"3","3","3"
"54","Shan (North)#ret","3","3","3",NA,"3","3","3"
"55","Shan (South)#idp","4","4","4",NA,"4","4","3"
"56","Shan (South)#ocap","5","5","5",NA,"4","5","4"
"57","Shan (South)#ret","4","4","5",NA,"4","4","4"
"58","Tanintharyi#idp","4","4","3","5","2","3","2"
"59","Tanintharyi#ocap","5","5","4",NA,"3","3","4"
"60","Tanintharyi#ret","4","4","4",NA,"3","3","3"
"61","Yangon#ocap","5","5","5",NA,"4","5","4"
